name,rank,id
Vernonia,genus,13753
Eukaryota,domain,2759
Viridiplantae,kingdom,33090
Streptophyta,phylum,35493
Magnoliopsida,class,3398
Asterales,order,4209
Asteraceae,family,4210
Acanthospermum hispidum,species,182999
Acanthospermum,genus,182998
Theobroma cacao,species,3641
Malvales,order,41938
Malvaceae,family,3629
Theobroma,genus,3640
Ageratum fastigiatum,species,1745183
Ageratum,genus,55597
Bidens,genus,42336
Palicourea acuminata,species,96273
Gentianales,order,4055
Rubiaceae,family,24966
Palicourea,genus,59595
Palicourea brachiata,species,3046967
Psychotria gracilenta,species,1129519
Psychotria,genus,25443
Psychotria capitata,species,77871
Palicourea deflexa,species,3046986
Psychotria hoffmannseggiana,species,96295
Coussarea curvigemmia,species,681427
Coussarea,genus,60043
Euphorbia biumbellata,species,1087756
Malpighiales,order,3646
Euphorbiaceae,family,3977
Euphorbia,genus,3990
Euphorbia subgen. Esula,subgenus,1334278
Solanum tuberosum,species,4113
Solanales,order,4069
Solanaceae,family,4070
Solanum,genus,4107
Euphorbia amygdaloides,species,38843
Solanum lycopersicum,species,4081
Solanum subgen. Lycopersicon,subgenus,49274
Solanum umbelliferum,species,2746968
Capsicum annuum,species,4072
Capsicum,genus,4071
Camellia sinensis,species,4442
Ericales,order,41945
Theaceae,family,27065
Camellia,genus,4441
Erythrophleum,genus,53876
Fabales,order,72025
Fabaceae,family,3803
Euphorbia dendroides,species,38845
Salvia rosmarinus,species,39367
Lamiales,order,4143
Lamiaceae,family,4136
Salvia,genus,21880
Salvia subgen. Rosmarinus,subgenus,39177
Arabidopsis thaliana,species,3702
Brassicales,order,3699
Brassicaceae,family,3700
Arabidopsis,genus,3701
Euphorbia acanthothamnos,species,212844
Euphorbia aeruginosa,species,334663
Euphorbia subgen. Euphorbia,subgenus,1334272
Euphorbia helioscopia,species,154990
Euphorbia lagascae,species,54672
Euphorbia ornithopus,species,1138355
Euphorbia subgen. Athymalus,subgenus,1334444
Euphorbia balsamifera subsp. balsamifera,subspecies,1129973
Euphorbia balsamifera,species,154988
Euphorbia lactea,species,1138348
Euphorbia cylindrifolia,species,209321
Euphorbia sipolisii,species,212981
Euphorbia peplus,species,38846
Euphorbia cyparissias,species,38844
Euphorbia platyclada,species,212960
Euphorbia subgen. Chamaesyce,subgenus,1334443
Euphorbia hyssopifolia,species,1046468
Euphorbia ophthalmica,species,1046491
Euphorbia mammillaris,species,1138350
